                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.92188,                 1.5124,                 0.7204,                 1.0696,                0.71786,                0.64657,                0.69755,                0.45007,                0.72297,                 0.6417,                0.68693,                0.39516,                 1.4245,                 2.4704,                   1.18,                 1.5322,             0.00063255,             0.00063255,             0.00063255
                     90,                0.89574,                 1.4998,                0.70477,                 1.0749,                0.70659,                0.62466,                0.69668,                0.44332,                0.69972,                0.60851,                0.67843,                0.38891,                 1.4216,                 2.5745,                 1.1594,                  1.517,             0.00062705,             0.00062705,             0.00062705
                     91,                 0.9046,                 1.4905,                 0.6961,                  1.067,                0.73091,                 0.6026,                0.67337,                0.44043,                0.72523,                0.60227,                0.65918,                 0.3819,                 1.4315,                 2.4775,                 1.2175,                 1.5195,             0.00062155,             0.00062155,             0.00062155
                     92,                0.91791,                 1.5073,                0.70539,                 1.0729,                0.68421,                0.65311,                0.69138,                0.43997,                0.67845,                0.62729,                0.67528,                0.38656,                 1.4298,                 2.5644,                 1.1547,                 1.5319,             0.00061605,             0.00061605,             0.00061605
                     93,                0.89175,                 1.4637,                0.68859,                 1.0568,                0.60983,                0.68785,                0.68614,                0.44062,                0.62855,                0.63909,                0.66554,                0.38588,                 1.4335,                 2.4478,                 1.1958,                 1.5256,             0.00061055,             0.00061055,             0.00061055
                     94,                0.88111,                 1.4542,                0.69011,                 1.0452,                0.70086,                0.68192,                0.69979,                0.44736,                0.69204,                 0.6747,                 0.6842,                0.39454,                 1.4005,                 2.4306,                 1.1155,                 1.5103,             0.00060505,             0.00060505,             0.00060505
                     95,                0.92223,                 1.5096,                0.70164,                  1.066,                0.69008,                0.66193,                0.68511,                 0.4412,                0.67987,                0.64972,                0.66502,                0.38615,                 1.4376,                 2.5127,                 1.2459,                 1.5349,             0.00059955,             0.00059955,             0.00059955
                     96,                0.87239,                 1.4361,                0.67988,                 1.0556,                0.70079,                0.64422,                0.68165,                0.44188,                0.68496,                0.63679,                0.66481,                0.38796,                 1.4563,                 2.5761,                 1.1834,                 1.5564,             0.00059405,             0.00059405,             0.00059405
                     97,                0.84865,                 1.4384,                0.68497,                 1.0376,                0.77338,                0.60732,                0.69875,                0.44645,                0.75786,                0.59405,                 0.6783,                0.38689,                 1.4303,                 2.4462,                 1.1989,                  1.548,             0.00058855,             0.00058855,             0.00058855
                     98,                0.86158,                 1.4437,                0.65622,                 1.0395,                0.69277,                0.65695,                0.68382,                0.43568,                0.71284,                0.61444,                0.66039,                0.38115,                 1.4483,                 2.7029,                 1.1681,                 1.5591,             0.00058305,             0.00058305,             0.00058305
                     99,                0.88204,                 1.4884,                0.70334,                 1.0523,                0.73155,                0.62772,                0.69354,                0.44365,                0.72484,                0.61396,                0.66091,                0.39037,                 1.4638,                  2.662,                 1.1752,                 1.5777,             0.00057755,             0.00057755,             0.00057755
                    100,                0.83204,                 1.4111,                0.67624,                 1.0381,                0.72736,                0.63625,                0.70427,                 0.4504,                0.73426,                0.60292,                0.67152,                0.39436,                 1.4365,                 2.6071,                 1.1346,                 1.5558,             0.00057205,             0.00057205,             0.00057205
                    101,                0.86823,                 1.4286,                0.67508,                 1.0478,                0.71754,                0.63823,                 0.6809,                0.44056,                0.69596,                0.62804,                0.66345,                0.38429,                 1.4374,                 2.6603,                 1.1902,                 1.5673,             0.00056655,             0.00056655,             0.00056655
                    102,                0.83733,                 1.4099,                0.65031,                  1.036,                0.69857,                 0.6457,                0.68726,                0.45154,                0.68884,                0.63237,                0.66023,                0.39581,                  1.439,                 2.6465,                   1.09,                 1.5661,             0.00056105,             0.00056105,             0.00056105
                    103,                 0.8434,                 1.4281,                0.68737,                 1.0494,                0.64575,                0.65997,                  0.678,                0.43278,                0.63948,                0.65052,                0.66641,                0.38828,                 1.4555,                 2.5563,                 1.1773,                 1.5696,             0.00055556,             0.00055556,             0.00055556
                    104,                0.82595,                  1.401,                0.64875,                 1.0298,                0.65709,                0.66185,                0.68346,                0.43885,                 0.6608,                0.66638,                0.67855,                0.38749,                 1.4557,                 2.5799,                 1.1402,                 1.5807,             0.00055006,             0.00055006,             0.00055006
